127.0.0.1 - - [23/Apr/2018:13:10:07 +0200] "GET /LETTA/rest/events?category=Literatura&date=&order=none HTTP/1.1" 200 2
127.0.0.1 - - [23/Apr/2018:13:10:07 +0200] "GET /LETTA/rest/events?category=Literatura&date=&order=none HTTP/1.1" 200 2
127.0.0.1 - - [23/Apr/2018:13:20:54 +0200] "GET /LETTA/rest/events?search= HTTP/1.1" 200 4176
127.0.0.1 - - [23/Apr/2018:13:20:54 +0200] "GET /LETTA/null HTTP/1.1" 404 1008
127.0.0.1 - - [23/Apr/2018:13:22:21 +0200] "GET /LETTA/main.bundle.js.map HTTP/1.1" 200 49103
127.0.0.1 - - [23/Apr/2018:13:22:21 +0200] "GET /LETTA/vendor.bundle.js.map HTTP/1.1" 200 4270659
127.0.0.1 - - [23/Apr/2018:13:27:34 +0200] "GET /LETTA/ HTTP/1.1" 200 783
127.0.0.1 - - [23/Apr/2018:13:27:35 +0200] "GET /LETTA/inline.bundle.js HTTP/1.1" 200 5830
127.0.0.1 - - [23/Apr/2018:13:27:35 +0200] "GET /LETTA/polyfills.bundle.js HTTP/1.1" 200 200843
127.0.0.1 - - [23/Apr/2018:13:27:35 +0200] "GET /LETTA/styles.bundle.js HTTP/1.1" 200 510515
127.0.0.1 - - [23/Apr/2018:13:27:35 +0200] "GET /LETTA/vendor.bundle.js HTTP/1.1" 200 3537273
127.0.0.1 - - [23/Apr/2018:13:27:35 +0200] "GET /LETTA/main.bundle.js HTTP/1.1" 200 53700
127.0.0.1 - - [23/Apr/2018:13:27:35 +0200] "GET /LETTA/scripts.bundle.js HTTP/1.1" 200 381409
127.0.0.1 - - [23/Apr/2018:13:27:38 +0200] "GET /LETTA/assets/imagenes/logo.png HTTP/1.1" 200 1447
127.0.0.1 - - [23/Apr/2018:13:27:38 +0200] "GET /LETTA/null HTTP/1.1" 404 1008
127.0.0.1 - - [23/Apr/2018:13:27:39 +0200] "GET /LETTA/rest/events?search= HTTP/1.1" 200 4176
127.0.0.1 - - [23/Apr/2018:13:27:39 +0200] "GET /LETTA/assets/imagenes/Cine.jpg HTTP/1.1" 200 55442
127.0.0.1 - - [23/Apr/2018:13:27:39 +0200] "GET /LETTA/assets/imagenes/Literatura.jpg HTTP/1.1" 200 76577
127.0.0.1 - - [23/Apr/2018:13:27:39 +0200] "GET /LETTA/assets/imagenes/Otros.jpg HTTP/1.1" 200 95461
127.0.0.1 - - [23/Apr/2018:13:27:39 +0200] "GET /LETTA/assets/imagenes/Deportes.jpg HTTP/1.1" 200 91270
127.0.0.1 - - [23/Apr/2018:13:27:39 +0200] "GET /LETTA/assets/imagenes/Series.jpg HTTP/1.1" 200 50285
127.0.0.1 - - [23/Apr/2018:13:30:33 +0200] "GET /LETTA/ HTTP/1.1" 200 783
127.0.0.1 - - [23/Apr/2018:13:30:33 +0200] "GET /LETTA/inline.bundle.js HTTP/1.1" 200 5830
127.0.0.1 - - [23/Apr/2018:13:30:33 +0200] "GET /LETTA/polyfills.bundle.js HTTP/1.1" 200 200843
127.0.0.1 - - [23/Apr/2018:13:30:33 +0200] "GET /LETTA/vendor.bundle.js HTTP/1.1" 200 3537273
127.0.0.1 - - [23/Apr/2018:13:30:33 +0200] "GET /LETTA/main.bundle.js HTTP/1.1" 200 53731
127.0.0.1 - - [23/Apr/2018:13:30:33 +0200] "GET /LETTA/styles.bundle.js HTTP/1.1" 200 510515
127.0.0.1 - - [23/Apr/2018:13:30:33 +0200] "GET /LETTA/scripts.bundle.js HTTP/1.1" 200 381409
127.0.0.1 - - [23/Apr/2018:13:30:39 +0200] "GET /LETTA/ HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:30:39 +0200] "GET /LETTA/inline.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:30:39 +0200] "GET /LETTA/polyfills.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:30:39 +0200] "GET /LETTA/styles.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:30:39 +0200] "GET /LETTA/vendor.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:30:39 +0200] "GET /LETTA/main.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:30:39 +0200] "GET /LETTA/scripts.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:30:51 +0200] "GET /LETTA/ HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:30:51 +0200] "GET /LETTA/polyfills.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:30:51 +0200] "GET /LETTA/inline.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:30:51 +0200] "GET /LETTA/styles.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:30:51 +0200] "GET /LETTA/vendor.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:30:51 +0200] "GET /LETTA/scripts.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:30:51 +0200] "GET /LETTA/main.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:31:13 +0200] "GET /LETTA/ HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:31:13 +0200] "GET /LETTA/inline.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:31:13 +0200] "GET /LETTA/polyfills.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:31:13 +0200] "GET /LETTA/styles.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:31:13 +0200] "GET /LETTA/vendor.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:31:13 +0200] "GET /LETTA/main.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:31:13 +0200] "GET /LETTA/scripts.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:31:28 +0200] "GET /LETTA/ HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:31:28 +0200] "GET /LETTA/styles.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:31:28 +0200] "GET /LETTA/polyfills.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:31:28 +0200] "GET /LETTA/inline.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:31:28 +0200] "GET /LETTA/vendor.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:31:28 +0200] "GET /LETTA/main.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:31:28 +0200] "GET /LETTA/scripts.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Apr/2018:13:33:26 +0200] "GET /LETTA/ HTTP/1.1" 500 4593
127.0.0.1 - - [23/Apr/2018:13:33:31 +0200] "GET /LETTA/ HTTP/1.1" 404 -
127.0.0.1 - - [23/Apr/2018:13:33:34 +0200] "GET /LETTA/ HTTP/1.1" 200 783
127.0.0.1 - - [23/Apr/2018:13:33:34 +0200] "GET /LETTA/inline.bundle.js HTTP/1.1" 200 5830
127.0.0.1 - - [23/Apr/2018:13:33:34 +0200] "GET /LETTA/styles.bundle.js HTTP/1.1" 200 510515
127.0.0.1 - - [23/Apr/2018:13:33:34 +0200] "GET /LETTA/vendor.bundle.js HTTP/1.1" 200 3537273
127.0.0.1 - - [23/Apr/2018:13:33:34 +0200] "GET /LETTA/polyfills.bundle.js HTTP/1.1" 200 200843
127.0.0.1 - - [23/Apr/2018:13:33:34 +0200] "GET /LETTA/main.bundle.js HTTP/1.1" 200 53727
127.0.0.1 - - [23/Apr/2018:13:33:34 +0200] "GET /LETTA/scripts.bundle.js HTTP/1.1" 200 381409
127.0.0.1 - - [23/Apr/2018:13:33:37 +0200] "GET /LETTA/assets/imagenes/logo.png HTTP/1.1" 200 1447
127.0.0.1 - - [23/Apr/2018:13:33:37 +0200] "GET /LETTA/null HTTP/1.1" 404 1008
127.0.0.1 - - [23/Apr/2018:13:33:38 +0200] "GET /LETTA/rest/events?search= HTTP/1.1" 200 4176
127.0.0.1 - - [23/Apr/2018:13:33:38 +0200] "GET /LETTA/assets/imagenes/Literatura.jpg HTTP/1.1" 200 76577
